"GSP Group ID","Profile Class ID","Standard Settlement Configuration ID","Effective From Settlement Date (VSCPC)","Effective From Settlement Date (AFOYCS)","Time Pattern Regime ID","Average Fraction Of Yearly Consumption"
"_P","2","0001","20/01/2021","20/01/2021","00205","0.74"
"_P","2","0001","20/01/2021","20/01/2021","00537","0.26"
"_P","4","0001","20/01/2021","20/01/2021","00205","0.73"
"_P","4","0001","20/01/2021","20/01/2021","00537","0.27"
"_P","2","0002","20/01/2021","20/01/2021","00465","1"
"_P","4","0002","20/01/2021","20/01/2021","00465","1"
"_D","2","0003","01/04/1996","01/04/1996","00166","1"
"_D","4","0003","01/04/1996","01/04/2019","00166","1"
"_D","4","0003","01/04/1996","01/04/2020","00166","1"
"_J","2","0004","01/04/1996","01/04/1996","00168","1"
"_J","4","0004","01/04/1996","01/04/2016","00168","1"
"_J","2","0005","01/04/1996","01/04/2013","00100","1"
"_J","4","0005","01/04/1996","01/04/2016","00100","1"
"_J","4","0005","01/04/1996","01/04/2025","00100","1"
"_H","2","0006","01/04/1996","01/04/2019","00257","1"
"_H","2","0006","01/04/1996","01/04/2020","00257","1"
"_H","2","0006","01/04/1996","01/04/2022","00257","1"
"_H","2","0007","01/04/1996","01/04/2015","00158","1"
"_H","2","0007","01/04/1996","01/04/2020","00158","1"
"_H","2","0007","01/04/1996","01/04/2023","00158","1"
"_H","4","0008","01/04/1996","01/04/2019","00159","1"
"_H","4","0008","01/04/1996","01/04/2020","00159","1"
"_H","4","0008","01/04/1996","01/04/2022","00159","1"
"_H","4","0008","01/04/1996","01/04/2023","00159","1"
"_H","4","0008","01/04/1996","01/04/2024","00159","1"
"_H","4","0008","01/04/1996","01/04/2025","00159","1"
"_H","2","0009","01/04/1996","01/04/2019","01111","1"
"_H","2","0009","01/04/1996","01/04/2020","01111","1"
"_H","2","0009","01/04/1996","01/04/2022","01111","1"
"_H","2","0009","01/04/1996","01/04/2023","01111","1"
"_H","2","0010","01/04/1996","01/04/1996","01104","1"
"_H","2","0011","01/04/1996","01/04/2015","01112","1"
"_H","2","0011","01/04/1996","01/04/2020","01112","1"
"_H","2","0011","01/04/1996","01/04/2022","01112","1"
"_H","2","0011","01/04/1996","01/04/2023","01112","1"
"_H","4","0012","01/04/1996","01/04/2015","01116","1"
"_H","4","0012","01/04/1996","01/04/2025","01116","1"
"_E","2","0013","01/04/1996","01/04/2019","00139","1"
"_E","2","0013","01/04/1996","01/04/2020","00139","1"
"_E","2","0013","01/04/1996","01/04/2022","00139","1"
"_E","2","0013","01/04/1996","01/04/2025","00139","1"
"_P","2","0014","20/01/2021","20/01/2021","00024","0.81"
"_P","2","0014","20/01/2021","20/01/2021","00226","0.19"
"_P","4","0014","20/01/2021","20/01/2021","00024","0.8"
"_P","4","0014","20/01/2021","20/01/2021","00226","0.2"
"_E","4","0015","01/04/1996","01/04/2019","00152","1"
"_E","4","0015","01/04/1996","01/04/2020","00152","1"
"_L","2","0016","01/04/1996","01/04/2016","00113","1"
"_L","2","0016","01/04/1996","01/04/2024","00113","1"
"_L","4","0016","01/04/1996","01/04/2015","00113","1"
"_L","4","0016","01/04/1996","01/04/2023","00113","1"
"_L","2","0017","01/04/1996","01/04/2012","00125","1"
"_L","2","0017","01/04/1996","01/04/2025","00125","1"
"_L","4","0017","01/04/1996","01/04/2016","00125","1"
"_L","2","0018","01/04/1996","01/04/2013","00126","1"
"_L","4","0018","01/04/1996","01/04/1996","00126","1"
"_L","2","0019","01/04/1996","01/04/2015","00127","1"
"_L","4","0019","01/04/1996","01/04/2013","00127","1"
"_L","4","0019","01/04/1996","01/04/2025","00127","1"
"_L","2","0020","01/04/1996","01/04/2016","00129","1"
"_L","2","0020","01/04/1996","01/04/2020","00129","1"
"_L","2","0020","01/04/1996","01/04/2024","00129","1"
"_L","4","0020","01/04/1996","01/04/2015","00129","1"
"_L","4","0020","01/04/1996","01/04/2020","00129","1"
"_L","2","0021","01/04/1996","01/04/2014","00130","1"
"_L","4","0021","01/04/1996","01/04/2019","00130","1"
"_L","4","0021","01/04/1996","01/04/2020","00130","1"
"_L","4","0021","01/04/1996","01/04/2024","00130","1"
"_L","2","0022","01/04/1996","01/04/2015","00131","1"
"_L","2","0022","01/04/1996","01/04/2022","00131","1"
"_L","2","0022","01/04/1996","01/04/2025","00131","1"
"_L","4","0022","01/04/1996","01/04/2019","00131","1"
"_L","4","0022","01/04/1996","01/04/2024","00131","1"
"_L","2","0023","01/04/1996","01/04/2018","00136","1"
"_L","2","0023","01/04/1996","01/04/2022","00136","1"
"_L","2","0023","01/04/1996","01/04/2025","00136","1"
