"GSP Group ID","Profile Class ID","Standard Settlement Configuration ID","Effective From Settlement Date (VSCPC)","Effective From Settlement Date (AFOYCS)","Effective To Settlement Date (AFOYCS)"
"_P","2","0001","20/01/2021","20/01/2021",""
"_P","4","0001","20/01/2021","20/01/2021",""
"_P","2","0002","20/01/2021","20/01/2021",""
"_P","4","0002","20/01/2021","20/01/2021",""
"_D","2","0003","01/04/1996","01/04/1996",""
"_D","4","0003","01/04/1996","01/04/2019","31/03/2020"
"_D","4","0003","01/04/1996","01/04/2020",""
"_J","2","0004","01/04/1996","01/04/1996",""
"_J","4","0004","01/04/1996","01/04/2016",""
"_J","2","0005","01/04/1996","01/04/2013",""
"_J","4","0005","01/04/1996","01/04/2016","31/03/2025"
"_J","4","0005","01/04/1996","01/04/2025",""
"_H","2","0006","01/04/1996","01/04/2019","31/03/2020"
"_H","2","0006","01/04/1996","01/04/2020","31/03/2022"
"_H","2","0006","01/04/1996","01/04/2022",""
"_H","2","0007","01/04/1996","01/04/2015","31/03/2020"
"_H","2","0007","01/04/1996","01/04/2020","31/03/2023"
"_H","2","0007","01/04/1996","01/04/2023",""
"_H","4","0008","01/04/1996","01/04/2019","31/03/2020"
"_H","4","0008","01/04/1996","01/04/2020","31/03/2022"
"_H","4","0008","01/04/1996","01/04/2022","31/03/2023"
"_H","4","0008","01/04/1996","01/04/2023","31/03/2024"
"_H","4","0008","01/04/1996","01/04/2024","31/03/2025"
"_H","4","0008","01/04/1996","01/04/2025",""
"_H","2","0009","01/04/1996","01/04/2019","31/03/2020"
"_H","2","0009","01/04/1996","01/04/2020","31/03/2022"
"_H","2","0009","01/04/1996","01/04/2022","31/03/2023"
"_H","2","0009","01/04/1996","01/04/2023",""
"_H","2","0010","01/04/1996","01/04/1996",""
"_H","2","0011","01/04/1996","01/04/2015","31/03/2020"
"_H","2","0011","01/04/1996","01/04/2020","31/03/2022"
"_H","2","0011","01/04/1996","01/04/2022","31/03/2023"
"_H","2","0011","01/04/1996","01/04/2023",""
"_H","4","0012","01/04/1996","01/04/2015","31/03/2025"
"_H","4","0012","01/04/1996","01/04/2025",""
"_E","2","0013","01/04/1996","01/04/2019","31/03/2020"
"_E","2","0013","01/04/1996","01/04/2020","31/03/2022"
"_E","2","0013","01/04/1996","01/04/2022","31/03/2025"
"_E","2","0013","01/04/1996","01/04/2025",""
"_P","2","0014","20/01/2021","20/01/2021",""
"_P","4","0014","20/01/2021","20/01/2021",""
"_E","4","0015","01/04/1996","01/04/2019","31/03/2020"
"_E","4","0015","01/04/1996","01/04/2020",""
"_L","4","0016","01/04/1996","01/04/2015","31/03/2023"
"_L","2","0016","01/04/1996","01/04/2016","31/03/2024"
"_L","4","0016","01/04/1996","01/04/2023",""
"_L","2","0016","01/04/1996","01/04/2024",""
"_L","2","0017","01/04/1996","01/04/2012","31/03/2025"
"_L","4","0017","01/04/1996","01/04/2016",""
"_L","2","0017","01/04/1996","01/04/2025",""
"_L","4","0018","01/04/1996","01/04/1996",""
"_L","2","0018","01/04/1996","01/04/2013",""
"_L","4","0019","01/04/1996","01/04/2013","31/03/2025"
"_L","2","0019","01/04/1996","01/04/2015",""
"_L","4","0019","01/04/1996","01/04/2025",""
"_L","4","0020","01/04/1996","01/04/2015","31/03/2020"
"_L","2","0020","01/04/1996","01/04/2016","31/03/2020"
"_L","2","0020","01/04/1996","01/04/2020","31/03/2024"
"_L","4","0020","01/04/1996","01/04/2020",""
"_L","2","0020","01/04/1996","01/04/2024",""
"_L","2","0021","01/04/1996","01/04/2014",""
"_L","4","0021","01/04/1996","01/04/2019","31/03/2020"
"_L","4","0021","01/04/1996","01/04/2020","31/03/2024"
"_L","4","0021","01/04/1996","01/04/2024",""
"_L","2","0022","01/04/1996","01/04/2015","31/03/2022"
"_L","4","0022","01/04/1996","01/04/2019","31/03/2024"
"_L","2","0022","01/04/1996","01/04/2022","31/03/2025"
"_L","4","0022","01/04/1996","01/04/2024",""
"_L","2","0022","01/04/1996","01/04/2025",""
"_L","2","0023","01/04/1996","01/04/2018","31/03/2022"
"_L","4","0023","01/04/1996","01/04/2019","31/03/2020"
"_M","2","0023","01/04/1996","01/04/2019","31/03/2020"
"_M","4","0023","01/04/1996","01/04/2019",""
"_L","4","0023","01/04/1996","01/04/2020","31/03/2024"
"_M","2","0023","01/04/1996","01/04/2020","31/03/2022"
"_L","2","0023","01/04/1996","01/04/2022","31/03/2025"
"_M","2","0023","01/04/1996","01/04/2022","31/03/2023"
"_M","2","0023","01/04/1996","01/04/2023",""
"_L","4","0023","01/04/1996","01/04/2024","31/03/2025"
"_L","2","0023","01/04/1996","01/04/2025",""
"_L","4","0023","01/04/1996","01/04/2025",""
"_L","4","0024","01/04/1996","01/04/1996",""
"_L","2","0024","01/04/1996","01/04/2012",""
"_L","4","0025","01/04/1996","01/04/1996",""
"_L","2","0025","01/04/1996","01/04/2013",""
"_J","2","0026","01/04/1996","01/04/2016","31/03/2023"
"_J","4","0026","01/04/1996","01/04/2019","31/03/2020"
"_J","4","0026","01/04/1996","01/04/2020",""
"_J","2","0026","01/04/1996","01/04/2023",""
"_P","2","0027","20/01/2021","20/01/2021",""
"_P","4","0027","20/01/2021","20/01/2021",""
"_J","2","0028","01/04/1996","01/04/2019",""
"_J","4","0028","01/04/1996","01/04/2019","31/03/2023"
"_J","4","0028","01/04/1996","01/04/2023","31/03/2024"
"_J","4","0028","01/04/1996","01/04/2024",""
"_K","2","0029","01/04/1996","01/04/2019","31/03/2022"
"_K","4","0029","01/04/1996","01/04/2019","31/03/2020"
"_K","4","0029","01/04/1996","01/04/2020","31/03/2024"
"_K","2","0029","01/04/1996","01/04/2022","31/03/2023"
"_K","2","0029","01/04/1996","01/04/2023","31/03/2025"
"_K","4","0029","01/04/1996","01/04/2024","31/03/2025"
"_K","2","0029","01/04/1996","01/04/2025",""
"_K","4","0029","01/04/1996","01/04/2025",""
"_F","4","0030","01/04/1996","01/04/2018","31/03/2020"
"_F","2","0030","01/04/1996","01/04/2019","31/03/2022"
"_F","4","0030","01/04/1996","01/04/2020",""
"_F","2","0030","01/04/1996","01/04/2022",""
"_F","2","0031","01/04/1996","01/04/1996",""
"_F","4","0031","01/04/1996","01/04/1996","31/03/2020"
"_F","4","0031","01/04/1996","01/04/2020",""
"_J","2","0032","01/04/1996","01/04/2019","31/03/2022"
"_J","4","0032","01/04/1996","01/04/2019","31/03/2025"
"_J","2","0032","01/04/1996","01/04/2022",""
"_J","4","0032","01/04/1996","01/04/2025",""
"_F","2","0033","01/04/1996","01/04/1996",""
"_F","4","0033","01/04/1996","01/04/1996","31/03/2022"
"_L","4","0033","01/04/1996","01/04/2018","31/03/2020"
"_L","2","0033","01/04/1996","01/04/2019","31/03/2020"
"_L","2","0033","01/04/1996","01/04/2020","31/03/2022"
"_L","4","0033","01/04/1996","01/04/2020","31/03/2022"
"_F","4","0033","01/04/1996","01/04/2022","31/03/2024"
"_L","2","0033","01/04/1996","01/04/2022","31/03/2024"
"_L","4","0033","01/04/1996","01/04/2022","31/03/2023"
"_L","4","0033","01/04/1996","01/04/2023","31/03/2024"
"_F","4","0033","01/04/1996","01/04/2024","31/03/2025"
"_L","2","0033","01/04/1996","01/04/2024","31/03/2025"
"_L","4","0033","01/04/1996","01/04/2024","31/03/2025"
"_F","4","0033","01/04/1996","01/04/2025",""
"_L","2","0033","01/04/1996","01/04/2025",""
"_L","4","0033","01/04/1996","01/04/2025",""
"_J","4","0034","01/04/1996","01/04/2015","31/03/2024"
"_L","4","0034","01/04/1996","01/04/2015","31/03/2023"
"_J","2","0034","01/04/1996","01/04/2019","31/03/2020"
"_L","2","0034","01/04/1996","01/04/2019","31/03/2020"
"_J","2","0034","01/04/1996","01/04/2020",""
"_L","2","0034","01/04/1996","01/04/2020","31/03/2022"
"_L","2","0034","01/04/1996","01/04/2022","31/03/2025"
"_L","4","0034","01/04/1996","01/04/2023","31/03/2024"
"_J","4","0034","01/04/1996","01/04/2024","31/03/2025"
"_L","4","0034","01/04/1996","01/04/2024",""
"_J","4","0034","01/04/1996","01/04/2025",""
"_L","2","0034","01/04/1996","01/04/2025",""
"_D","2","0035","01/04/1996","01/04/2019","31/03/2022"
"_D","4","0035","01/04/1996","01/04/2019",""
"_D","2","0035","01/04/1996","01/04/2022",""
"_L","4","0036","01/04/1996","01/04/2018","31/03/2020"
"_L","2","0036","01/04/1996","01/04/2019","31/03/2022"
"_L","4","0036","01/04/1996","01/04/2020","31/03/2022"
"_L","2","0036","01/04/1996","01/04/2022","31/03/2025"
"_L","4","0036","01/04/1996","01/04/2022","31/03/2023"
"_L","4","0036","01/04/1996","01/04/2023",""
"_L","2","0036","01/04/1996","01/04/2025",""
"_L","4","0037","01/04/1996","01/04/2015",""
"_L","2","0037","01/04/1996","01/04/2018","31/03/2025"
"_L","2","0037","01/04/1996","01/04/2025",""
"_J","2","0038","01/04/1996","01/04/2019","31/03/2020"
"_J","4","0038","01/04/1996","01/04/2019","31/03/2020"
"_J","2","0038","01/04/1996","01/04/2020","31/03/2022"
"_J","4","0038","01/04/1996","01/04/2020","31/03/2022"
"_J","2","0038","01/04/1996","01/04/2022","31/03/2025"
"_J","4","0038","01/04/1996","01/04/2022","31/03/2023"
"_J","4","0038","01/04/1996","01/04/2023","31/03/2024"
"_J","4","0038","01/04/1996","01/04/2024",""
"_J","2","0038","01/04/1996","01/04/2025",""
"_J","4","0039","01/04/1996","01/04/2016","31/03/2020"
"_J","2","0039","01/04/1996","01/04/2019","31/03/2025"
"_J","4","0039","01/04/1996","01/04/2020","31/03/2022"
"_J","4","0039","01/04/1996","01/04/2022",""
"_J","2","0039","01/04/1996","01/04/2025",""
"_L","2","0040","01/04/1996","01/04/1996",""
"_L","4","0040","01/04/1996","01/04/1996",""
"_L","4","0041","01/04/1996","01/04/2016","31/03/2024"
"_L","2","0041","01/04/1996","01/04/2019","31/03/2025"
"_L","4","0041","01/04/1996","01/04/2024",""
"_L","2","0041","01/04/1996","01/04/2025",""
"_L","2","0042","01/04/1996","01/04/2019","31/03/2024"
"_L","4","0042","01/04/1996","01/04/2019","31/03/2022"
"_L","4","0042","01/04/1996","01/04/2022","31/03/2025"
"_L","2","0042","01/04/1996","01/04/2024","31/03/2025"
"_L","2","0042","01/04/1996","01/04/2025",""
"_L","4","0042","01/04/1996","01/04/2025",""
"_L","2","0043","01/04/1996","01/04/2016","31/03/2020"
"_L","4","0043","01/04/1996","01/04/2016","31/03/2020"
"_L","2","0043","01/04/1996","01/04/2020",""
"_L","4","0043","01/04/1996","01/04/2020",""
"_L","2","0044","01/04/1996","01/04/2018","31/03/2025"
"_L","4","0044","01/04/1996","01/04/2019",""
"_L","2","0044","01/04/1996","01/04/2025",""
"_M","2","0045","01/04/1996","01/04/1996",""
"_M","4","0045","01/04/1996","01/04/2015","31/03/2024"
"_M","4","0045","01/04/1996","01/04/2024","31/03/2025"
"_M","4","0045","01/04/1996","01/04/2025",""
"_M","4","0046","01/04/1996","01/04/2013","31/03/2024"
"_M","2","0046","01/04/1996","01/04/2019",""
"_M","4","0046","01/04/1996","01/04/2024",""
