"GSP Group ID","Market Participant ID","Market Participant Role Code","Effective From Settlement Date (MPR)","BM Unit ID","Effective From Settlement Date (BMUIGG)","Effective To Settlement Date (BMUIGG)","Default BM Unit Flag"
"_A","ALAB","X","15/08/2018","2__AALAB000","15/08/2018","","T"
"_A","ALAS","X","15/08/2018","2__AALAS000","15/08/2018","21/07/2023","T"
"_A","ALBU","X","11/04/2018","2__AALBU000","11/04/2018","17/07/2019","T"
"_A","ALTI","X","14/08/2013","2__AALTI000","14/08/2013","","T"
"_A","AMPE","X","15/06/2011","2__AAMPE000","15/06/2011","16/05/2012","T"
"_A","ANGE","X","20/03/2013","2__AANGE000","20/03/2013","","T"
"_A","ANGE","X","20/03/2013","2__AANGE001","15/08/2018","","F"
"_A","ANGE","X","20/03/2013","2__AANGE002","20/03/2019","","F"
"_A","ANGE","X","20/03/2013","2__AANGE003","20/11/2019","","F"
"_A","ANGE","X","20/03/2013","2__AANGE004","20/11/2019","","F"
"_A","ANGE","X","20/03/2013","C__AANGE002","16/11/2016","","F"
"_A","ANGE","X","20/03/2013","C__AANGE009","20/02/2019","","F"
"_A","ANGE","X","20/03/2013","C__AANGE029","16/04/2025","","F"
"_A","ANGE","X","20/03/2013","C__AANGE031","21/05/2025","","F"
"_A","ANGE","X","20/03/2013","C__AANGE032","21/05/2025","","F"
"_A","ANGE","X","20/03/2013","C__AANGE033","21/05/2025","","F"
"_A","ANGE","X","20/03/2013","C__AANGE042","18/06/2025","","F"
"_A","ARIZ","X","15/11/2017","2__AARIZ000","15/11/2017","18/12/2024","T"
"_A","ARRU","X","15/11/2017","2__AARRU000","15/11/2017","","T"
"_A","AVRO","X","18/11/2015","2__AAVRO000","18/11/2015","","T"
"_A","AXIS","X","16/05/2012","2__AAXIS000","16/05/2012","18/03/2020","T"
"_A","AXPO","X","15/05/2013","2__AAXPO000","15/05/2013","","T"
"_A","AXPO","X","15/05/2013","C__AAXPO002","16/11/2016","","F"
"_A","AXPO","X","15/05/2013","C__AAXPO009","20/02/2019","","F"
"_A","AXPO","X","15/05/2013","C__AAXPO029","16/04/2025","","F"
"_A","AXPO","X","15/05/2013","C__AAXPO031","21/05/2025","","F"
"_A","AXPO","X","15/05/2013","C__AAXPO032","21/05/2025","","F"
"_A","AXPO","X","15/05/2013","C__AAXPO033","21/05/2025","","F"
"_A","AXPO","X","15/05/2013","C__AAXPO042","18/06/2025","","F"
"_A","AZAC","X","16/11/2016","2__AAZAC000","16/11/2016","","T"
"_A","BARB","X","18/09/2013","2__ABARB000","18/09/2013","","T"
"_A","BAYS","X","20/03/2013","2__ABAYS000","20/03/2013","19/08/2020","T"
"_A","BCFC","X","21/09/2016","2__ABCFC000","21/09/2016","","T"
"_A","BELS","X","20/03/2019","2__ABELS000","20/03/2019","","T"
"_A","BETH","X","19/08/2015","2__ABETH000","19/08/2015","","T"
"_A","BGAS","X","01/04/1996","2__ABGAS000","01/09/2000","","T"
"_A","BIZZ","X","07/07/2000","2__ABIZZ000","01/09/2000","","T"
"_A","BLBL","X","17/08/2016","2__ABLBL000","17/08/2016","21/09/2022","T"
"_A","BNRG","X","05/11/2004","2__ABNRG000","05/11/2004","","T"
"_A","BORE","X","16/11/2016","2__ABORE000","16/11/2016","","T"
"_A","BORO","X","20/03/2019","2__ABORO000","20/03/2019","","T"
"_A","BOWF","X","18/12/2019","2__ABOWF000","18/12/2019","","T"
"_A","BPGL","X","17/02/2021","2__ABPGL000","17/02/2021","","T"
"_A","BPGM","X","17/04/2019","2__ABPGM000","17/04/2019","","T"
"_A","BREZ","X","18/11/2015","2__ABREZ000","18/11/2015","22/01/2025","T"
"_A","BRKG","X","19/08/2020","2__ABRKG000","19/08/2020","","T"
"_A","BRZE","X","17/06/2015","2__ABRZE000","17/06/2015","","T"
"_A","BULN","X","16/11/2016","2__ABULN000","16/11/2016","","T"
"_A","CALA","X","18/03/2020","2__ACALA000","18/03/2020","21/09/2022","T"
"_A","CALI","X","15/11/2017","2__ACALI000","15/11/2017","21/11/2019","T"
"_A","CALL","X","17/10/2012","2__ACALL000","17/10/2012","","T"
"_A","CAST","X","21/04/2021","2__ACAST000","21/04/2021","","T"
"_A","CBRA","X","11/04/2018","2__ACBRA000","11/04/2018","","T"
"_A","CFWR","X","16/03/2016","2__ACFWR000","16/03/2016","22/01/2025","T"
"_A","CGLS","X","22/01/2025","2__ACGLS000","22/01/2025","","T"
"_A","CILI","X","15/11/2017","2__ACILI000","15/11/2017","","T"
"_A","CILI","X","15/11/2017","C__ACILI029","16/04/2025","","F"
"_A","CILI","X","15/11/2017","C__ACILI031","21/05/2025","","F"
"_A","CILI","X","15/11/2017","C__ACILI032","21/05/2025","","F"
"_A","CILI","X","15/11/2017","C__ACILI033","21/05/2025","","F"
"_A","CIRC","X","15/06/2011","2__ACIRC000","15/06/2011","","T"
"_A","CIRC","X","15/06/2011","2__ACIRC001","16/07/2014","","F"
"_A","CMRO","X","11/04/2018","2__ACMRO000","11/04/2018","","T"
"_A","CMRO","X","11/04/2018","C__ACMRO002","20/11/2024","","F"
"_A","CMRO","X","11/04/2018","C__ACMRO029","16/04/2025","","F"
"_A","CMRO","X","11/04/2018","C__ACMRO031","21/05/2025","","F"
"_A","CMRO","X","11/04/2018","C__ACMRO032","21/05/2025","","F"
"_A","CMRO","X","11/04/2018","C__ACMRO033","21/05/2025","","F"
"_A","CMRO","X","11/04/2018","C__ACMRO042","18/06/2025","","F"
"_A","CNDL","X","18/11/2009","2__ACNDL000","18/11/2009","","T"
"_A","CNDL","X","18/11/2009","2__ACNDL001","22/01/2020","31/05/2024","F"
"_A","CNDL","X","18/11/2009","C__ACNDL002","16/11/2016","","F"
"_A","CNDL","X","18/11/2009","C__ACNDL009","20/02/2019","","F"
"_A","CNDL","X","18/11/2009","C__ACNDL029","16/04/2025","","F"
"_A","CNDL","X","18/11/2009","C__ACNDL031","21/05/2025","","F"
"_A","CNDL","X","18/11/2009","C__ACNDL032","21/05/2025","","F"
"_A","CNDL","X","18/11/2009","C__ACNDL033","21/05/2025","","F"
"_A","CNDL","X","18/11/2009","C__ACNDL042","18/06/2025","","F"
"_A","CNRD","X","19/02/2020","2__ACNRD000","19/02/2020","","T"
"_A","CNRD","X","19/02/2020","2__ACNRD001","16/11/2022","","F"
"_A","CNRD","X","19/02/2020","C__ACNRD029","16/04/2025","","F"
"_A","CNRD","X","19/02/2020","C__ACNRD031","21/05/2025","","F"
"_A","CNRD","X","19/02/2020","C__ACNRD032","21/05/2025","","F"
"_A","CNRD","X","19/02/2020","C__ACNRD033","21/05/2025","","F"
"_A","CNRD","X","19/02/2020","C__ACNRD042","18/06/2025","","F"
"_A","CNRG","X","05/11/2004","2__ACNRG000","05/11/2004","","T"
"_A","CNRG","X","05/11/2004","2__ACNRG001","14/03/2012","01/11/2012","F"
"_A","CNRG","X","05/11/2004","2__ACNRG002","18/10/2017","13/06/2018","F"
"_A","CNRG","X","05/11/2004","2__ACNRG003","15/11/2017","13/06/2018","F"
"_A","CNRG","X","05/11/2004","C__ACNRG002","17/10/2018","","F"
"_A","CNRG","X","05/11/2004","C__ACNRG009","20/02/2019","","F"
"_A","CNRG","X","05/11/2004","C__ACNRG029","16/04/2025","","F"
"_A","CNRG","X","05/11/2004","C__ACNRG031","21/05/2025","","F"
"_A","CNRG","X","05/11/2004","C__ACNRG032","21/05/2025","","F"
"_A","CNRG","X","05/11/2004","C__ACNRG033","21/05/2025","","F"
"_A","CNRG","X","05/11/2004","C__ACNRG042","18/06/2025","","F"
"_A","COLG","X","15/11/2017","2__ACOLG000","15/11/2017","","T"
"_A","COLO","X","15/08/2018","2__ACOLO000","15/08/2018","","T"
"_A","COMT","X","17/08/2016","2__ACOMT000","17/08/2016","17/08/2022","T"
"_A","CONI","X","18/12/2019","2__ACONI000","18/12/2019","","T"
"_A","COOP","X","12/06/2009","2__ACOOP000","12/06/2009","21/05/2025","T"
"_A","COOP","X","12/06/2009","C__ACOOP002","16/11/2016","21/05/2025","F"
"_A","COOP","X","12/06/2009","C__ACOOP009","20/02/2019","21/05/2025","F"
"_A","COOP","X","12/06/2009","C__ACOOP029","16/04/2025","21/05/2025","F"
"_A","CORE","X","20/07/2016","2__ACORE000","20/07/2016","","T"
"_A","COUL","X","15/06/2011","2__ACOUL000","15/06/2011","","T"
