"Change Date","GMT Time","Post Change Local Time"
"26/10/1997","01:00:00","01:00:00"
"29/03/1998","01:00:00","02:00:00"
"25/10/1998","01:00:00","01:00:00"
"28/03/1999","01:00:00","02:00:00"
"31/10/1999","01:00:00","01:00:00"
"26/03/2000","01:00:00","02:00:00"
"29/10/2000","01:00:00","01:00:00"
"25/03/2001","01:00:00","02:00:00"
"28/10/2001","01:00:00","01:00:00"
"31/03/2002","01:00:00","02:00:00"
"27/10/2002","01:00:00","01:00:00"
"30/03/2003","01:00:00","02:00:00"
"26/10/2003","01:00:00","01:00:00"
"28/03/2004","01:00:00","02:00:00"
"31/10/2004","01:00:00","01:00:00"
"27/03/2005","01:00:00","02:00:00"
"30/10/2005","01:00:00","01:00:00"
"26/03/2006","01:00:00","02:00:00"
"29/10/2006","01:00:00","01:00:00"
"25/03/2007","01:00:00","02:00:00"
"28/10/2007","01:00:00","01:00:00"
"30/03/2008","01:00:00","02:00:00"
"26/10/2008","01:00:00","01:00:00"
"29/03/2009","01:00:00","02:00:00"
"25/10/2009","01:00:00","01:00:00"
"28/03/2010","01:00:00","02:00:00"
"31/10/2010","01:00:00","01:00:00"
"27/03/2011","01:00:00","02:00:00"
"30/10/2011","01:00:00","01:00:00"
"25/03/2012","01:00:00","02:00:00"
"28/10/2012","01:00:00","01:00:00"
"31/03/2013","01:00:00","02:00:00"
"27/10/2013","01:00:00","01:00:00"
"30/03/2014","01:00:00","02:00:00"
"26/10/2014","01:00:00","01:00:00"
"29/03/2015","01:00:00","02:00:00"
"25/10/2015","01:00:00","01:00:00"
"27/03/2016","01:00:00","02:00:00"
"30/10/2016","01:00:00","01:00:00"
"26/03/2017","01:00:00","02:00:00"
"29/10/2017","01:00:00","01:00:00"
"25/03/2018","01:00:00","02:00:00"
"28/10/2018","01:00:00","01:00:00"
"31/03/2019","01:00:00","02:00:00"
"27/10/2019","01:00:00","01:00:00"
"29/03/2020","01:00:00","02:00:00"
"25/10/2020","01:00:00","01:00:00"
"28/03/2021","01:00:00","02:00:00"
"31/10/2021","01:00:00","01:00:00"
"27/03/2022","01:00:00","02:00:00"
"30/10/2022","01:00:00","01:00:00"
"26/03/2023","01:00:00","02:00:00"
"29/10/2023","01:00:00","01:00:00"
"31/03/2024","01:00:00","02:00:00"
"27/10/2024","01:00:00","01:00:00"
"30/03/2025","01:00:00","02:00:00"
"26/10/2025","01:00:00","01:00:00"
"29/03/2026","01:00:00","02:00:00"
