"GSP Group ID","Profile Class ID","Profile ID","Effective From Settlement Date (PSET)","Group Average Annual Consumption"
"_A","1","1","01/04/2023","3.88"
"_B","1","1","01/04/2023","3.906"
"_C","1","1","01/04/2023","3.807"
"_D","1","1","01/04/2023","3.869"
"_E","1","1","01/04/2023","3.884"
"_F","1","1","01/04/2023","3.963"
"_G","1","1","01/04/2023","3.863"
"_H","1","1","01/04/2023","3.807"
"_J","1","1","01/04/2023","3.836"
"_K","1","1","01/04/2023","3.851"
"_L","1","1","01/04/2023","3.821"
"_M","1","1","01/04/2023","3.889"
"_N","1","1","01/04/2023","3.963"
"_P","1","1","01/04/2023","3.966"
"_A","1","1","04/09/2023","3.765"
"_B","1","1","04/09/2023","3.79"
"_C","1","1","04/09/2023","3.692"
"_D","1","1","04/09/2023","3.751"
"_E","1","1","04/09/2023","3.768"
"_F","1","1","04/09/2023","3.846"
"_G","1","1","04/09/2023","3.746"
"_H","1","1","04/09/2023","3.692"
"_J","1","1","04/09/2023","3.72"
"_K","1","1","04/09/2023","3.734"
"_L","1","1","04/09/2023","3.705"
"_M","1","1","04/09/2023","3.773"
"_N","1","1","04/09/2023","3.844"
"_P","1","1","04/09/2023","3.849"
"_A","1","1","01/04/2024","3.627"
"_B","1","1","01/04/2024","3.651"
"_C","1","1","01/04/2024","3.557"
"_D","1","1","01/04/2024","3.61"
"_E","1","1","01/04/2024","3.629"
"_F","1","1","01/04/2024","3.704"
"_G","1","1","01/04/2024","3.607"
"_H","1","1","01/04/2024","3.557"
"_J","1","1","01/04/2024","3.584"
"_K","1","1","01/04/2024","3.595"
"_L","1","1","01/04/2024","3.567"
"_M","1","1","01/04/2024","3.634"
"_N","1","1","01/04/2024","3.702"
"_P","1","1","01/04/2024","3.708"
"_A","1","1","02/09/2024","3.437"
"_B","1","1","02/09/2024","3.458"
"_C","1","1","02/09/2024","3.374"
"_D","1","1","02/09/2024","3.423"
"_E","1","1","02/09/2024","3.437"
"_F","1","1","02/09/2024","3.507"
"_G","1","1","02/09/2024","3.419"
"_H","1","1","02/09/2024","3.374"
"_J","1","1","02/09/2024","3.397"
"_K","1","1","02/09/2024","3.408"
"_L","1","1","02/09/2024","3.383"
"_M","1","1","02/09/2024","3.443"
"_N","1","1","02/09/2024","3.504"
"_P","1","1","02/09/2024","3.512"
"_A","1","1","01/04/2025","3.366"
"_B","1","1","01/04/2025","3.386"
"_C","1","1","01/04/2025","3.304"
"_D","1","1","01/04/2025","3.351"
"_E","1","1","01/04/2025","3.366"
"_F","1","1","01/04/2025","3.434"
"_G","1","1","01/04/2025","3.348"
"_H","1","1","01/04/2025","3.304"
"_J","1","1","01/04/2025","3.327"
"_K","1","1","01/04/2025","3.338"
"_L","1","1","01/04/2025","3.311"
"_M","1","1","01/04/2025","3.372"
"_N","1","1","01/04/2025","3.433"
"_P","1","1","01/04/2025","3.442"
"_A","2","1","01/04/2023","3.925"
"_B","2","1","01/04/2023","3.96"
"_C","2","1","01/04/2023","3.821"
"_D","2","1","01/04/2023","3.903"
"_E","2","1","01/04/2023","3.928"
"_F","2","1","01/04/2023","4.038"
"_G","2","1","01/04/2023","3.897"
"_H","2","1","01/04/2023","3.821"
"_J","2","1","01/04/2023","3.861"
"_K","2","1","01/04/2023","3.88"
"_L","2","1","01/04/2023","3.838"
"_M","2","1","01/04/2023","3.935"
"_N","2","1","01/04/2023","4.037"
"_P","2","1","01/04/2023","4.041"
"_A","2","1","04/09/2023","3.963"
"_B","2","1","04/09/2023","3.999"
"_C","2","1","04/09/2023","3.849"
"_D","2","1","04/09/2023","3.935"
"_E","2","1","04/09/2023","3.965"
"_F","2","1","04/09/2023","4.086"
"_G","2","1","04/09/2023","3.93"
"_H","2","1","04/09/2023","3.849"
"_J","2","1","04/09/2023","3.892"
"_K","2","1","04/09/2023","3.91"
"_L","2","1","04/09/2023","3.865"
"_M","2","1","04/09/2023","3.973"
"_N","2","1","04/09/2023","4.083"
"_P","2","1","04/09/2023","4.089"
"_A","2","1","01/04/2024","3.889"
"_B","2","1","01/04/2024","3.927"
"_C","2","1","01/04/2024","3.775"
"_D","2","1","01/04/2024","3.86"
"_E","2","1","01/04/2024","3.891"
"_F","2","1","01/04/2024","4.013"
"_G","2","1","01/04/2024","3.856"
"_H","2","1","01/04/2024","3.775"
"_J","2","1","01/04/2024","3.818"
"_K","2","1","01/04/2024","3.836"
"_L","2","1","01/04/2024","3.791"
"_M","2","1","01/04/2024","3.899"
"_N","2","1","01/04/2024","4.009"
"_P","2","1","01/04/2024","4.02"
"_A","2","1","02/09/2024","3.669"
"_B","2","1","02/09/2024","3.703"
"_C","2","1","02/09/2024","3.571"
"_D","2","1","02/09/2024","3.65"
"_E","2","1","02/09/2024","3.672"
"_F","2","1","02/09/2024","3.779"
"_G","2","1","02/09/2024","3.644"
"_H","2","1","02/09/2024","3.571"
"_J","2","1","02/09/2024","3.608"
"_K","2","1","02/09/2024","3.628"
"_L","2","1","02/09/2024","3.587"
"_M","2","1","02/09/2024","3.68"
"_N","2","1","02/09/2024","3.776"
"_P","2","1","02/09/2024","3.79"
"_A","2","1","01/04/2025","3.613"
"_B","2","1","01/04/2025","3.645"
"_C","2","1","01/04/2025","3.517"
"_D","2","1","01/04/2025","3.593"
"_E","2","1","01/04/2025","3.615"
"_F","2","1","01/04/2025","3.721"
"_G","2","1","01/04/2025","3.588"
"_H","2","1","01/04/2025","3.517"
"_J","2","1","01/04/2025","3.553"
"_K","2","1","01/04/2025","3.572"
"_L","2","1","01/04/2025","3.53"
"_M","2","1","01/04/2025","3.623"
"_N","2","1","01/04/2025","3.721"
"_P","2","1","01/04/2025","3.735"
"_A","2","2","01/04/2023","0.696"
"_B","2","2","01/04/2023","0.709"
"_C","2","2","01/04/2023","0.655"
"_D","2","2","01/04/2023","0.687"
"_E","2","2","01/04/2023","0.697"
"_F","2","2","01/04/2023","0.74"
"_G","2","2","01/04/2023","0.685"
"_H","2","2","01/04/2023","0.655"
"_J","2","2","01/04/2023","0.652"
"_K","2","2","01/04/2023","0.678"
"_L","2","2","01/04/2023","0.661"
"_M","2","2","01/04/2023","0.7"
"_N","2","2","01/04/2023","0.74"
"_P","2","2","01/04/2023","0.741"
"_A","2","2","04/09/2023","0.703"
"_B","2","2","04/09/2023","0.718"
"_C","2","2","04/09/2023","0.658"
"_D","2","2","04/09/2023","0.692"
"_E","2","2","04/09/2023","0.704"
"_F","2","2","04/09/2023","0.751"
"_G","2","2","04/09/2023","0.69"
"_H","2","2","04/09/2023","0.658"
"_J","2","2","04/09/2023","0.675"
"_K","2","2","04/09/2023","0.682"
"_L","2","2","04/09/2023","0.664"
"_M","2","2","04/09/2023","0.707"
"_N","2","2","04/09/2023","0.75"
"_P","2","2","04/09/2023","0.752"
"_A","2","2","01/04/2024","0.713"
"_B","2","2","01/04/2024","0.728"
"_C","2","2","01/04/2024","0.665"
"_D","2","2","01/04/2024","0.701"
"_E","2","2","01/04/2024","0.713"
"_F","2","2","01/04/2024","0.763"
"_G","2","2","01/04/2024","0.699"
"_H","2","2","01/04/2024","0.665"
"_J","2","2","01/04/2024","0.683"
"_K","2","2","01/04/2024","0.691"
"_L","2","2","01/04/2024","0.672"
"_M","2","2","01/04/2024","0.717"
"_N","2","2","01/04/2024","0.762"
"_P","2","2","01/04/2024","0.767"
"_A","2","2","02/09/2024","0.651"
"_B","2","2","02/09/2024","0.664"
"_C","2","2","02/09/2024","0.613"
"_D","2","2","02/09/2024","0.636"
"_E","2","2","02/09/2024","0.652"
"_F","2","2","02/09/2024","0.693"
"_G","2","2","02/09/2024","0.642"
"_H","2","2","02/09/2024","0.613"
"_J","2","2","02/09/2024","0.627"
"_K","2","2","02/09/2024","0.636"
"_L","2","2","02/09/2024","0.62"
"_M","2","2","02/09/2024","0.656"
"_N","2","2","02/09/2024","0.691"
"_P","2","2","02/09/2024","0.698"
"_A","2","2","01/04/2025","0.641"
"_B","2","2","01/04/2025","0.652"
"_C","2","2","01/04/2025","0.606"
"_D","2","2","01/04/2025","0.633"
"_E","2","2","01/04/2025","0.641"
"_F","2","2","01/04/2025","0.68"
"_G","2","2","01/04/2025","0.631"
"_H","2","2","01/04/2025","0.606"
"_J","2","2","01/04/2025","0.619"
"_K","2","2","01/04/2025","0.625"
"_L","2","2","01/04/2025","0.61"
"_M","2","2","01/04/2025","0.645"
"_N","2","2","01/04/2025","0.679"
"_P","2","2","01/04/2025","0.685"
"_A","2","3","01/04/2023","0.696"
"_B","2","3","01/04/2023","0.709"
"_C","2","3","01/04/2023","0.655"
"_D","2","3","01/04/2023","0.687"
"_E","2","3","01/04/2023","0.697"
"_F","2","3","01/04/2023","0.74"
"_G","2","3","01/04/2023","0.685"
"_H","2","3","01/04/2023","0.655"
"_J","2","3","01/04/2023","0.652"
"_K","2","3","01/04/2023","0.678"
"_L","2","3","01/04/2023","0.661"
"_M","2","3","01/04/2023","0.7"
"_N","2","3","01/04/2023","0.74"
"_P","2","3","01/04/2023","0.741"
"_A","2","3","04/09/2023","0.703"
"_B","2","3","04/09/2023","0.718"
"_C","2","3","04/09/2023","0.658"
"_D","2","3","04/09/2023","0.692"
"_E","2","3","04/09/2023","0.704"
"_F","2","3","04/09/2023","0.751"
"_G","2","3","04/09/2023","0.69"
"_H","2","3","04/09/2023","0.658"
"_J","2","3","04/09/2023","0.675"
"_K","2","3","04/09/2023","0.682"
"_L","2","3","04/09/2023","0.664"
"_M","2","3","04/09/2023","0.707"
"_N","2","3","04/09/2023","0.75"
"_P","2","3","04/09/2023","0.752"
"_A","2","3","01/04/2024","0.713"
"_B","2","3","01/04/2024","0.728"
"_C","2","3","01/04/2024","0.665"
"_D","2","3","01/04/2024","0.701"
"_E","2","3","01/04/2024","0.713"
"_F","2","3","01/04/2024","0.763"
"_G","2","3","01/04/2024","0.699"
"_H","2","3","01/04/2024","0.665"
"_J","2","3","01/04/2024","0.683"
"_K","2","3","01/04/2024","0.691"
"_L","2","3","01/04/2024","0.672"
"_M","2","3","01/04/2024","0.717"
"_N","2","3","01/04/2024","0.762"
"_P","2","3","01/04/2024","0.767"
"_A","2","3","02/09/2024","0.651"
"_B","2","3","02/09/2024","0.664"
"_C","2","3","02/09/2024","0.613"
"_D","2","3","02/09/2024","0.636"
"_E","2","3","02/09/2024","0.652"
"_F","2","3","02/09/2024","0.693"
"_G","2","3","02/09/2024","0.642"
"_H","2","3","02/09/2024","0.613"
"_J","2","3","02/09/2024","0.627"
"_K","2","3","02/09/2024","0.636"
"_L","2","3","02/09/2024","0.62"
"_M","2","3","02/09/2024","0.656"
"_N","2","3","02/09/2024","0.691"
"_P","2","3","02/09/2024","0.698"
"_A","2","3","01/04/2025","0.641"
"_B","2","3","01/04/2025","0.652"
"_C","2","3","01/04/2025","0.606"
"_D","2","3","01/04/2025","0.633"
"_E","2","3","01/04/2025","0.641"
"_F","2","3","01/04/2025","0.68"
"_G","2","3","01/04/2025","0.631"
"_H","2","3","01/04/2025","0.606"
"_J","2","3","01/04/2025","0.619"
"_K","2","3","01/04/2025","0.625"
"_L","2","3","01/04/2025","0.61"
"_M","2","3","01/04/2025","0.645"
"_N","2","3","01/04/2025","0.679"
"_P","2","3","01/04/2025","0.685"
"_A","2","4","01/04/2023","0.696"
"_B","2","4","01/04/2023","0.709"
"_C","2","4","01/04/2023","0.655"
"_D","2","4","01/04/2023","0.687"
"_E","2","4","01/04/2023","0.697"
"_F","2","4","01/04/2023","0.74"
"_G","2","4","01/04/2023","0.685"
"_H","2","4","01/04/2023","0.655"
"_J","2","4","01/04/2023","0.652"
"_K","2","4","01/04/2023","0.678"
"_L","2","4","01/04/2023","0.661"
"_M","2","4","01/04/2023","0.7"
"_N","2","4","01/04/2023","0.74"
"_P","2","4","01/04/2023","0.741"
"_A","2","4","04/09/2023","0.703"
"_B","2","4","04/09/2023","0.718"
"_C","2","4","04/09/2023","0.658"
"_D","2","4","04/09/2023","0.692"
"_E","2","4","04/09/2023","0.704"
"_F","2","4","04/09/2023","0.751"
"_G","2","4","04/09/2023","0.69"
"_H","2","4","04/09/2023","0.658"
"_J","2","4","04/09/2023","0.675"
"_K","2","4","04/09/2023","0.682"
"_L","2","4","04/09/2023","0.664"
"_M","2","4","04/09/2023","0.707"
"_N","2","4","04/09/2023","0.75"
"_P","2","4","04/09/2023","0.752"
"_A","2","4","01/04/2024","0.713"
"_B","2","4","01/04/2024","0.728"
"_C","2","4","01/04/2024","0.665"
"_D","2","4","01/04/2024","0.701"
"_E","2","4","01/04/2024","0.713"
"_F","2","4","01/04/2024","0.763"
"_G","2","4","01/04/2024","0.699"
"_H","2","4","01/04/2024","0.665"
"_J","2","4","01/04/2024","0.683"
"_K","2","4","01/04/2024","0.691"
"_L","2","4","01/04/2024","0.672"
"_M","2","4","01/04/2024","0.717"
"_N","2","4","01/04/2024","0.762"
"_P","2","4","01/04/2024","0.767"
"_A","2","4","02/09/2024","0.651"
"_B","2","4","02/09/2024","0.664"
"_C","2","4","02/09/2024","0.613"
"_D","2","4","02/09/2024","0.636"
"_E","2","4","02/09/2024","0.652"
"_F","2","4","02/09/2024","0.693"
"_G","2","4","02/09/2024","0.642"
"_H","2","4","02/09/2024","0.613"
"_J","2","4","02/09/2024","0.627"
"_K","2","4","02/09/2024","0.636"
"_L","2","4","02/09/2024","0.62"
"_M","2","4","02/09/2024","0.656"
"_N","2","4","02/09/2024","0.691"
"_P","2","4","02/09/2024","0.698"
"_A","2","4","01/04/2025","0.641"
"_B","2","4","01/04/2025","0.652"
"_C","2","4","01/04/2025","0.606"
"_D","2","4","01/04/2025","0.633"
"_E","2","4","01/04/2025","0.641"
"_F","2","4","01/04/2025","0.68"
"_G","2","4","01/04/2025","0.631"
"_H","2","4","01/04/2025","0.606"
"_J","2","4","01/04/2025","0.619"
"_K","2","4","01/04/2025","0.625"
"_L","2","4","01/04/2025","0.61"
"_M","2","4","01/04/2025","0.645"
"_N","2","4","01/04/2025","0.679"
"_P","2","4","01/04/2025","0.685"
"_A","2","5","01/04/2023","0.696"
"_B","2","5","01/04/2023","0.709"
"_C","2","5","01/04/2023","0.655"
"_D","2","5","01/04/2023","0.687"
"_E","2","5","01/04/2023","0.697"
"_F","2","5","01/04/2023","0.74"
"_G","2","5","01/04/2023","0.685"
"_H","2","5","01/04/2023","0.655"
"_J","2","5","01/04/2023","0.652"
"_K","2","5","01/04/2023","0.678"
"_L","2","5","01/04/2023","0.661"
"_M","2","5","01/04/2023","0.7"
"_N","2","5","01/04/2023","0.74"
"_P","2","5","01/04/2023","0.741"
"_A","2","5","04/09/2023","0.703"
"_B","2","5","04/09/2023","0.718"
"_C","2","5","04/09/2023","0.658"
"_D","2","5","04/09/2023","0.692"
"_E","2","5","04/09/2023","0.704"
"_F","2","5","04/09/2023","0.751"
"_G","2","5","04/09/2023","0.69"
"_H","2","5","04/09/2023","0.658"
"_J","2","5","04/09/2023","0.675"
