"Consumption Component Class ID","Measurement Quantity ID","Effective From Settlement Date (GGCSF)","GSP Group Scaling Factor","Effective To Settlement Date (GGCSF)"
"6","AE","01/04/1996","0",""
"7","AE","01/04/1996","0","31/03/2013"
"7","AE","01/04/2013","1","31/03/2014"
"7","AE","01/04/2014","0",""
"8","AE","01/04/1996","0","31/03/2013"
"8","AE","01/04/2013","1","31/03/2014"
"8","AE","01/04/2014","0",""
"14","AE","01/04/1996","0",""
"15","AE","01/04/1996","0","31/03/2013"
"15","AE","01/04/2013","1","31/03/2014"
"15","AE","01/04/2014","0",""
"16","AE","01/04/1996","0","31/03/2013"
"16","AE","01/04/2013","1","31/03/2014"
"16","AE","01/04/2014","0",""
"32","AE","28/09/2003","1","31/03/2014"
"32","AE","01/04/2014","0",""
"33","AE","28/09/2003","1","31/03/2014"
"33","AE","01/04/2014","0",""
"34","AE","28/09/2003","1","31/03/2013"
"34","AE","01/04/2013","2.3","31/03/2014"
"34","AE","01/04/2014","0",""
"35","AE","28/09/2003","1","31/03/2013"
"35","AE","01/04/2013","2.3","31/03/2014"
"35","AE","01/04/2014","0",""
"36","AE","29/10/1999","0",""
"37","AE","29/10/1999","0",""
"38","AE","29/10/1999","0",""
"39","AE","29/10/1999","0",""
"40","AE","29/10/1999","0",""
"41","AE","29/10/1999","0",""
"48","AE","05/11/2015","0",""
"49","AE","05/11/2015","0",""
"50","AE","05/11/2015","0",""
"51","AE","05/11/2015","0",""
"52","AE","05/11/2015","0",""
"53","AE","05/11/2015","0",""
"60","AE","05/11/2015","0",""
"61","AE","05/11/2015","0",""
"62","AE","05/11/2015","0",""
"63","AE","05/11/2015","0",""
"64","AE","05/11/2015","0",""
"65","AE","05/11/2015","0",""
"1","AI","01/04/1996","0","31/03/2014"
"1","AI","01/04/2014","0.1","19/08/2014"
"1","AI","20/08/2014","0",""
"2","AI","01/04/1996","0","31/03/2014"
"2","AI","01/04/2014","0.1","19/08/2014"
"2","AI","20/08/2014","0",""
"3","AI","01/04/1996","0","31/03/2013"
"3","AI","01/04/2013","1","31/03/2014"
"3","AI","01/04/2014","0.94","19/08/2014"
"3","AI","20/08/2014","0",""
"4","AI","01/04/1996","0","31/03/2013"
"4","AI","01/04/2013","1","31/03/2014"
"4","AI","01/04/2014","0.94","19/08/2014"
"4","AI","20/08/2014","0",""
"5","AI","01/04/1996","0","31/03/2013"
"5","AI","01/04/2013","1","31/03/2014"
"5","AI","01/04/2014","0.94","19/08/2014"
"5","AI","20/08/2014","0",""
"9","AI","01/04/1996","0","31/03/2014"
"9","AI","01/04/2014","0.1","19/08/2014"
"9","AI","20/08/2014","0",""
"10","AI","01/04/1996","0","31/03/2014"
"10","AI","01/04/2014","0.1","19/08/2014"
"10","AI","20/08/2014","0",""
"11","AI","01/04/1996","0","31/03/2013"
"11","AI","01/04/2013","1","31/03/2014"
"11","AI","01/04/2014","0.94","19/08/2014"
"11","AI","20/08/2014","0",""
"12","AI","01/04/1996","0","31/03/2013"
"12","AI","01/04/2013","1","31/03/2014"
"12","AI","01/04/2014","0.94","19/08/2014"
"12","AI","20/08/2014","0",""
"13","AI","01/04/1996","0","31/03/2013"
"13","AI","01/04/2013","1","31/03/2014"
"13","AI","01/04/2014","0.94","19/08/2014"
"13","AI","20/08/2014","0",""
"17","AI","01/04/1996","1",""
"18","AI","01/04/1996","1",""
"19","AI","01/04/1996","1",""
"20","AI","01/04/1996","1","31/03/2013"
"20","AI","01/04/2013","2.3","31/03/2014"
"20","AI","01/04/2014","2.25","19/08/2014"
"20","AI","20/08/2014","1.2",""
"21","AI","01/04/1996","1","31/03/2013"
"21","AI","01/04/2013","2.3","31/03/2014"
"21","AI","01/04/2014","2.25","19/08/2014"
"21","AI","20/08/2014","1.2",""
"22","AI","01/04/1996","1","31/03/2013"
"22","AI","01/04/2013","2.3","31/03/2014"
"22","AI","01/04/2014","2.25","19/08/2014"
"22","AI","20/08/2014","1.2",""
"23","AI","29/10/1999","0","31/03/2014"
"23","AI","01/04/2014","0.1","19/08/2014"
"23","AI","20/08/2014","0",""
"25","AI","29/10/1999","0","31/03/2013"
"25","AI","01/04/2013","1","31/03/2014"
"25","AI","01/04/2014","0.94","19/08/2014"
"25","AI","20/08/2014","0",""
"26","AI","29/10/1999","0","31/03/2013"
"26","AI","01/04/2013","1","31/03/2014"
"26","AI","01/04/2014","0.94","19/08/2014"
"26","AI","20/08/2014","0",""
"28","AI","29/10/1999","0","31/03/2014"
"28","AI","01/04/2014","0.1","19/08/2014"
"28","AI","20/08/2014","0",""
"30","AI","29/10/1999","0","31/03/2013"
"30","AI","01/04/2013","1","31/03/2014"
"30","AI","01/04/2014","0.94","19/08/2014"
"30","AI","20/08/2014","0",""
"31","AI","29/10/1999","0","31/03/2013"
"31","AI","01/04/2013","1","31/03/2014"
"31","AI","01/04/2014","0.94","19/08/2014"
"31","AI","20/08/2014","0",""
"42","AI","05/11/2015","0","31/03/2017"
"42","AI","01/04/2017","1",""
"43","AI","05/11/2015","0","31/03/2017"
"43","AI","01/04/2017","1.2",""
"44","AI","05/11/2015","0","31/03/2017"
"44","AI","01/04/2017","1.2",""
"45","AI","05/11/2015","0","31/03/2017"
"45","AI","01/04/2017","1",""
