"GSP Group ID","Distributor ID","Market Participant Role Code","Effective From Date (MPR)","Effective From Settlement Date (GGD)","Effective To Settlement Date (GGD)"
"_A","AENL","R","19/04/2023","22/05/2024",""
"_A","AIDI","R","17/04/2024","21/05/2025",""
"_A","AURO","R","21/08/2024","20/11/2024",""
"_A","EELC","R","01/04/1996","01/04/1996",""
"_A","ETCL","R","26/05/2006","01/09/2006",""
"_A","FEAL","R","15/11/2017","14/02/2018",""
"_A","FORB","R","20/03/2019","22/01/2020",""
"_A","GGEN","R","15/03/2017","15/11/2017",""
"_A","GUCL","R","03/06/2005","12/08/2005",""
"_A","HARL","R","05/09/2014","17/09/2014",""
"_A","IDCS","R","01/09/2023","17/04/2024",""
"_A","INDI","R","22/04/2020","16/09/2020",""
"_A","IPNL","R","01/08/2004","01/08/2004",""
"_A","LENG","R","01/04/2005","24/03/2006",""
"_A","MPDL","R","19/04/2017","17/04/2019",""
"_A","PENL","R","17/06/2015","17/06/2015",""
"_A","SOUT","R","01/04/1996","23/01/2004",""
"_A","STRK","R","22/02/2023","21/02/2024",""
"_A","UDNL","R","16/11/2016","19/04/2017",""
"_A","UKPD","R","16/03/2016","15/06/2016",""
"_A","UTAL","R","22/03/2023","18/04/2024",""
"_A","VATT","R","14/02/2018","23/01/2019",""
"_A","VEPN","R","22/01/2025","01/04/2025",""
"_B","AENL","R","19/04/2023","22/05/2024",""
"_B","AIDI","R","17/04/2024","21/05/2025",""
"_B","AURO","R","21/08/2024","20/11/2024",""
"_B","EMEB","R","01/04/1996","01/04/1996",""
"_B","ETCL","R","26/05/2006","01/09/2006",""
"_B","FEAL","R","15/11/2017","14/02/2018",""
"_B","FORB","R","20/03/2019","22/01/2020",""
"_B","GGEN","R","15/03/2017","15/11/2017",""
"_B","GUCL","R","03/06/2005","12/08/2005",""
"_B","HARL","R","05/09/2014","17/09/2014",""
"_B","IDCS","R","01/09/2023","17/04/2024",""
"_B","INDI","R","22/04/2020","16/09/2020",""
"_B","IPNL","R","01/08/2004","01/08/2004",""
"_B","LENG","R","01/04/2005","07/10/2008",""
"_B","MPDL","R","19/04/2017","17/04/2019",""
"_B","PENL","R","17/06/2015","17/06/2015",""
"_B","SOUT","R","01/04/1996","23/01/2004",""
"_B","STRK","R","22/02/2023","21/02/2024",""
