"GSP Group ID","Profile Class ID","Standard Settlement Configuration ID","Effective From Settlement Date (VSCPC)","Effective From Settlement Date (GGPCAE)","Researched Average EAC"
"_J","1","0058","01/04/1996","01/04/1996","3561"
"_J","1","0058","01/04/1996","10/04/2008","4249"
"_J","1","0058","01/04/1996","01/04/2011","4249"
"_J","1","0058","01/04/1996","01/04/2012","4125.3"
"_J","1","0058","01/04/1996","01/04/2013","4114.9"
"_J","1","0058","01/04/1996","01/04/2014","3870.1"
"_J","1","0058","01/04/1996","01/04/2015","3661.7"
"_J","1","0058","01/04/1996","01/04/2016","3698.9"
"_J","1","0058","01/04/1996","01/04/2018","3600.8"
"_J","1","0058","01/04/1996","01/04/2019","3474.3"
"_J","1","0058","01/04/1996","01/04/2020","3373.8"
"_J","1","0058","01/04/1996","01/04/2022","3507.2"
"_J","1","0058","01/04/1996","01/04/2023","3061.5"
"_J","1","0058","01/04/1996","01/04/2024","2826.8"
"_J","1","0058","01/04/1996","01/04/2025","2847.7"
"_J","1","0093","01/04/1996","01/04/1996","3560"
"_J","1","0093","01/04/1996","10/04/2008","4356"
"_J","1","0093","01/04/1996","01/04/2011","4356"
"_J","1","0093","01/04/1996","01/04/2012","4086.6"
"_J","1","0093","01/04/1996","01/04/2013","4094.8"
"_J","1","0093","01/04/1996","01/04/2014","4139.6"
"_J","1","0093","01/04/1996","01/04/2015","3882.9"
"_J","1","0093","01/04/1996","01/04/2016","3872.9"
"_J","1","0093","01/04/1996","01/04/2018","3922.8"
"_J","1","0093","01/04/1996","01/04/2019","3917.7"
"_J","1","0093","01/04/1996","01/04/2020","3819.6"
"_J","1","0093","01/04/1996","01/04/2022","4131.9"
"_J","1","0093","01/04/1996","01/04/2023","3599.9"
"_J","1","0093","01/04/1996","01/04/2024","3447.3"
"_J","1","0093","01/04/1996","01/04/2025","3377.2"
"_A","1","0151","01/04/1996","01/04/1996","1857.1"
"_A","1","0151","01/04/1996","01/07/1998","4672"
"_A","1","0151","01/04/1996","10/04/2008","5273.9"
"_A","1","0151","01/04/1996","01/04/2011","5273.9"
"_A","1","0151","01/04/1996","01/04/2012","5657.6"
"_A","1","0151","01/04/1996","01/04/2013","5542.9"
"_A","1","0151","01/04/1996","01/04/2014","5818.9"
"_A","1","0151","01/04/1996","01/04/2015","5319.4"
"_A","1","0151","01/04/1996","01/04/2016","5124.8"
"_A","1","0151","01/04/1996","01/04/2018","4897.9"
"_A","1","0151","01/04/1996","01/04/2019","4751"
"_A","1","0151","01/04/1996","01/04/2020","4626.5"
"_A","1","0151","01/04/1996","01/04/2022","4671.5"
"_A","1","0151","01/04/1996","01/04/2023","4293.5"
"_A","1","0151","01/04/1996","01/04/2024","4036.3"
"_A","1","0151","01/04/1996","01/04/2025","4088"
"_B","1","0151","01/04/1996","01/04/1996","2718"
"_B","1","0151","01/04/1996","10/04/2008","4572"
"_B","1","0151","01/04/1996","01/04/2011","4572"
"_B","1","0151","01/04/1996","01/04/2012","4587.1"
"_B","1","0151","01/04/1996","01/04/2013","4504.7"
"_B","1","0151","01/04/1996","01/04/2014","4745.5"
"_B","1","0151","01/04/1996","01/04/2015","4496.7"
"_B","1","0151","01/04/1996","01/04/2016","4808.1"
"_B","1","0151","01/04/1996","01/04/2018","4354"
"_B","1","0151","01/04/1996","01/04/2019","4359"
"_B","1","0151","01/04/1996","01/04/2020","4386.9"
"_B","1","0151","01/04/1996","01/04/2022","4742.9"
"_B","1","0151","01/04/1996","01/04/2025","3834"
"_E","1","0151","01/04/1996","01/04/1996","3538.5"
"_E","1","0151","01/04/1996","10/04/2008","4469.4"
"_E","1","0151","01/04/1996","01/04/2011","4469.4"
"_E","1","0151","01/04/1996","01/04/2012","4748.4"
"_E","1","0151","01/04/1996","01/04/2013","4764.6"
"_E","1","0151","01/04/1996","01/04/2014","4862.8"
"_E","1","0151","01/04/1996","01/04/2015","4447.4"
"_E","1","0151","01/04/1996","01/04/2016","4406.3"
"_E","1","0151","01/04/1996","01/04/2018","4452.6"
"_E","1","0151","01/04/1996","01/04/2019","4448.1"
"_E","1","0151","01/04/1996","01/04/2020","4332.1"
"_E","1","0151","01/04/1996","01/04/2022","4497.3"
"_E","1","0151","01/04/1996","01/04/2023","3910.9"
"_E","1","0151","01/04/1996","01/04/2024","3654.9"
"_E","1","0151","01/04/1996","01/04/2025","3721.6"
"_J","1","0151","01/04/1996","01/04/1996","3560"
"_J","1","0151","01/04/1996","10/04/2008","5088.3"
"_J","1","0151","01/04/1996","01/04/2011","5088.3"
"_J","1","0151","01/04/1996","01/04/2014","5963.8"
"_J","1","0151","01/04/1996","01/04/2015","5269.9"
"_J","1","0151","01/04/1996","01/04/2016","4842.6"
"_J","1","0151","01/04/1996","01/04/2018","4593.2"
"_J","1","0151","01/04/1996","01/04/2019","4581.2"
"_J","1","0151","01/04/1996","01/04/2020","4601.5"
"_J","1","0151","01/04/1996","01/04/2022","4817.7"
"_J","1","0151","01/04/1996","01/04/2025","4126.6"
"_J","1","0160","01/04/1996","01/04/1996","3560"
"_J","1","0160","01/04/1996","01/04/2015","7357"
"_J","1","0160","01/04/1996","01/04/2019","3895.2"
"_J","1","0160","01/04/1996","01/04/2020","4221.4"
"_J","1","0160","01/04/1996","01/04/2023","5582.7"
"_J","1","0160","01/04/1996","01/04/2024","3437.4"
"_J","1","0160","01/04/1996","01/04/2025","3750.5"
"_J","1","0161","01/04/1996","01/04/1996","3560"
"_J","1","0161","01/04/1996","01/04/2015","5872.1"
"_J","1","0161","01/04/1996","01/04/2019","4229.5"
"_J","1","0161","01/04/1996","01/04/2020","4261.1"
"_J","1","0161","01/04/1996","01/04/2022","4362.4"
"_J","1","0161","01/04/1996","01/04/2023","4601.2"
"_J","1","0161","01/04/1996","01/04/2024","4898.3"
"_J","1","0162","01/04/1996","01/04/1996","3560"
"_J","1","0162","01/04/1996","01/04/2019","3560"
"_J","1","0162","01/04/1996","01/04/2023","3574.2"
"_J","1","0163","01/04/1996","01/04/1996","3560"
"_J","1","0164","01/04/1996","01/04/1996","3560"
"_J","1","0164","01/04/1996","01/04/2020","2195.7"
"_J","1","0165","01/04/1996","01/04/1996","3560"
"_J","1","0165","01/04/1996","10/04/2008","5448.2"
"_J","1","0165","01/04/1996","01/04/2013","5900.8"
"_J","1","0165","01/04/1996","01/04/2014","5813.3"
"_J","1","0165","01/04/1996","01/04/2015","5003.8"
"_J","1","0165","01/04/1996","01/04/2019","4286.9"
"_J","1","0165","01/04/1996","01/04/2020","4230.2"
"_J","1","0165","01/04/1996","01/04/2023","4226.7"
"_J","1","0165","01/04/1996","01/04/2024","3831.4"
"_J","1","0165","01/04/1996","01/04/2025","4014.3"
"_J","1","0166","01/04/1996","01/04/1996","3560"
"_J","1","0166","01/04/1996","10/04/2008","5570.8"
"_J","1","0166","01/04/1996","01/04/2011","5570.8"
"_J","1","0166","01/04/1996","01/04/2012","5445.8"
"_J","1","0166","01/04/1996","01/04/2013","4901.9"
"_J","1","0166","01/04/1996","01/04/2014","4838.1"
"_J","1","0166","01/04/1996","01/04/2015","5392.4"
"_J","1","0166","01/04/1996","01/04/2019","4638.6"
"_J","1","0166","01/04/1996","01/04/2020","4539.5"
"_J","1","0166","01/04/1996","01/04/2023","4485.1"
"_J","1","0166","01/04/1996","01/04/2024","4159.8"
"_J","1","0166","01/04/1996","01/04/2025","4089.8"
"_A","1","0188","01/04/1996","01/04/1996","1587.6"
"_A","1","0188","01/04/1996","01/07/1998","4672"
"_A","1","0188","01/04/1996","10/04/2008","6185.7"
"_A","1","0188","01/04/1996","01/04/2011","6185.7"
"_A","1","0188","01/04/1996","01/04/2012","5862.1"
"_A","1","0188","01/04/1996","01/04/2013","5935.9"
"_A","1","0188","01/04/1996","01/04/2014","5526.8"
"_A","1","0188","01/04/1996","01/04/2015","5835"
"_A","1","0188","01/04/1996","01/04/2019","4455.4"
"_A","1","0188","01/04/1996","01/04/2020","4407.5"
"_A","1","0188","01/04/1996","01/04/2023","4375.5"
"_A","1","0188","01/04/1996","01/04/2024","4019"
"_A","1","0188","01/04/1996","01/04/2025","4101.4"
"_B","1","0189","01/04/1996","10/04/2008","5088.8"
"_B","1","0189","01/04/1996","01/04/1996","2573"
"_B","1","0189","01/04/1996","01/04/2011","5088.8"
"_B","1","0189","01/04/1996","01/04/2012","4797.8"
"_B","1","0189","01/04/1996","01/04/2013","4657.4"
"_B","1","0189","01/04/1996","01/04/2014","4542.9"
"_B","1","0189","01/04/1996","01/04/2015","4218.7"
"_B","1","0189","01/04/1996","01/04/2016","4152.7"
"_B","1","0189","01/04/1996","01/04/2018","4194.7"
"_B","1","0189","01/04/1996","01/04/2019","4074.3"
"_B","1","0189","01/04/1996","01/04/2020","3959.3"
"_B","1","0189","01/04/1996","01/04/2022","4805.2"
"_B","1","0189","01/04/1996","01/04/2023","4124.3"
"_B","1","0189","01/04/1996","01/04/2024","3567.9"
"_B","1","0189","01/04/1996","01/04/2025","3696.1"
"_B","1","0190","01/04/1996","01/04/1996","2718"
"_B","1","0190","01/04/1996","01/04/2020","3394.6"
"_B","1","0190","01/04/1996","01/04/2025","3262.4"
"_B","1","0191","01/04/1996","01/04/1996","2788"
