"Measurement Quantity ID","Measurement Quantity Description","Direction Of Energy Flow"
"AE","Active kWh export (Generation)","E"
"AI","Active kWh import (Consumption)","I"
"AL","Alarm","I"
"AM","AMPS MAXIMUM DEMAND (Amps)","I"
"AR","Phase Advance Reactive","I"
"AS","Real Time Current","I"
"BP","Pounds","I"
"CD","CUMULATIVE DEMAND (KVA)","I"
"GF","Gas, 100s of cubic feet","I"
"GK","Gas, kWh","I"
"GM","Gas, Cubic Metres","I"
"HT","Height","I"
"HZ","Frequency","I"
"KA","Kilo Volts","I"
"KH","KVAh","I"
"KR","Reactive KVAr import demand","I"
"KS","Reactive KVAr export demand","E"
"KV","KVA Maximum Demand","I"
"KW","Active KW import demand","I"
"KX","Active KW export demand","E"
"MA","Active MWh export (Generation)","E"
"MB","Active MWh import (Consumption)","I"
"MC","Reactive MVArh export","E"
"MD","Reactive MVArh import","I"
"ME","Active MW export demand","E"
"MF","Active MW import demand","I"
"MG","Reactive MVAr export demand","E"
"MH","Reactive MVAr import demand","I"
"MV","MVA Maximum Demand","I"
"MW","MW Maximum Demand","I"
"PF","Power Factor","I"
"RC","Reset Counter","I"
"RD","RISING DEMAND (KVA)","I"
"RE","Reactive kVArh export","E"
"RI","Reactive kVArh import","I"
"UN","Unassigned","I"
"VS","Real Time Voltage","I"
"WT","Water, cubic feet","I"
