"GSP Group ID","Market Participant ID","Market Participant Role Code","Effective From Date (MPR)","Effective From Date (PAA)","Effective To Date (PAA)"
"_A","EELC","P","01/04/1996","01/04/1996",""
"_A","SOUT","P","01/04/1996","23/01/2004",""
"_A","IPNL","P","01/08/2004","01/08/2004",""
"_A","GUCL","P","03/06/2005","12/08/2005",""
"_A","LENG","P","01/04/2005","24/03/2006",""
"_A","ETCL","P","26/05/2006","01/09/2006",""
"_A","HARL","P","05/09/2014","17/09/2014",""
"_A","PENL","P","17/06/2015","17/06/2015",""
"_A","UKPD","P","16/03/2016","15/06/2016",""
"_A","UDNL","P","16/11/2016","19/04/2017",""
"_A","GGEN","P","15/03/2017","15/11/2017",""
"_A","FEAL","P","15/11/2017","14/02/2018",""
"_A","VATT","P","14/02/2018","23/01/2019",""
"_A","MPDL","P","19/04/2017","17/04/2019",""
"_A","FORB","P","20/03/2019","22/01/2020",""
"_A","INDI","P","22/04/2020","16/09/2020",""
"_A","STRK","P","22/02/2023","21/02/2024",""
"_A","IDCS","P","01/09/2023","17/04/2024",""
"_A","UTAL","P","22/03/2023","18/04/2024",""
"_A","AENL","P","19/04/2023","22/05/2024",""
"_A","AURO","P","21/08/2024","20/11/2024",""
"_A","VEPN","P","22/01/2025","01/04/2025",""
"_A","AIDI","P","17/04/2024","21/05/2025",""
"_B","EMEB","P","01/04/1996","01/04/1996",""
"_B","SOUT","P","01/04/1996","23/01/2004",""
"_B","IPNL","P","01/08/2004","01/08/2004",""
"_B","GUCL","P","03/06/2005","12/08/2005",""
"_B","ETCL","P","26/05/2006","01/09/2006",""
"_B","LENG","P","01/04/2005","07/10/2008",""
"_B","HARL","P","05/09/2014","17/09/2014",""
"_B","PENL","P","17/06/2015","17/06/2015",""
"_B","UKPD","P","16/03/2016","15/06/2016",""
"_B","UDNL","P","16/11/2016","19/04/2017",""
"_B","GGEN","P","15/03/2017","15/11/2017",""
"_B","FEAL","P","15/11/2017","14/02/2018",""
"_B","VATT","P","14/02/2018","23/01/2019",""
"_B","MPDL","P","19/04/2017","17/04/2019",""
"_B","FORB","P","20/03/2019","22/01/2020",""
"_B","INDI","P","22/04/2020","16/09/2020",""
"_B","STRK","P","22/02/2023","21/02/2024",""
"_B","IDCS","P","01/09/2023","17/04/2024",""
"_B","UTAL","P","22/03/2023","18/04/2024",""
"_B","AENL","P","19/04/2023","22/05/2024",""
"_B","AURO","P","21/08/2024","20/11/2024",""
"_B","VEPN","P","22/01/2025","01/04/2025",""
"_B","AIDI","P","17/04/2024","21/05/2025",""
"_C","LOND","P","01/04/1996","01/04/1996",""
"_C","SOUT","P","01/04/1996","23/01/2004",""
"_C","IPNL","P","01/08/2004","01/08/2004",""
"_C","LENG","P","01/04/2005","01/04/2005",""
"_C","GUCL","P","03/06/2005","12/08/2005",""
"_C","ETCL","P","26/05/2006","01/09/2006",""
"_C","EDFI","P","16/04/2009","16/04/2009","17/12/2014"
"_C","HARL","P","05/09/2014","17/09/2014",""
"_C","PENL","P","17/06/2015","17/06/2015",""
"_C","UDNL","P","16/11/2016","19/04/2017",""
"_C","GGEN","P","15/03/2017","15/11/2017",""
"_C","FEAL","P","15/11/2017","14/02/2018",""
"_C","VATT","P","14/02/2018","23/01/2019",""
"_C","UKPD","P","16/03/2016","20/02/2019",""
"_C","MPDL","P","19/04/2017","17/04/2019",""
"_C","FORB","P","20/03/2019","22/01/2020",""
"_C","INDI","P","22/04/2020","16/09/2020",""
"_C","STRK","P","22/02/2023","21/02/2024",""
"_C","IDCS","P","01/09/2023","20/03/2024",""
"_C","UTAL","P","22/03/2023","18/04/2024",""
"_C","AENL","P","19/04/2023","22/05/2024",""
"_C","AURO","P","21/08/2024","20/11/2024",""
"_C","VEPN","P","22/01/2025","01/04/2025",""
"_C","AIDI","P","17/04/2024","21/05/2025",""
"_D","MANW","P","01/04/1996","01/04/1996",""
"_D","IPNL","P","01/08/2004","01/08/2004",""
"_D","GUCL","P","03/06/2005","12/08/2005",""
"_D","SOUT","P","01/04/1996","03/03/2006",""
"_D","ETCL","P","26/05/2006","01/09/2006",""
"_D","LENG","P","01/04/2005","07/10/2008",""
"_D","HARL","P","05/09/2014","17/09/2014",""
"_D","PENL","P","17/06/2015","17/06/2015",""
"_D","UKPD","P","16/03/2016","15/06/2016",""
"_D","GGEN","P","15/03/2017","15/11/2017",""
"_D","UDNL","P","16/11/2016","20/12/2017",""
"_D","FEAL","P","15/11/2017","14/02/2018",""
"_D","VATT","P","14/02/2018","23/01/2019",""
"_D","MPDL","P","19/04/2017","17/04/2019",""
"_D","FORB","P","20/03/2019","22/01/2020",""
"_D","INDI","P","22/04/2020","16/09/2020",""
"_D","STRK","P","22/02/2023","21/02/2024",""
"_D","IDCS","P","01/09/2023","17/04/2024",""
"_D","AENL","P","19/04/2023","22/05/2024",""
"_D","AURO","P","21/08/2024","20/11/2024",""
"_D","VEPN","P","22/01/2025","01/04/2025",""
"_D","AIDI","P","17/04/2024","21/05/2025",""
"_E","MIDE","P","01/04/1996","01/04/1996",""
"_E","SOUT","P","01/04/1996","23/01/2004",""
"_E","IPNL","P","01/08/2004","01/08/2004",""
"_E","GUCL","P","03/06/2005","12/08/2005",""
"_E","ETCL","P","26/05/2006","01/09/2006",""
"_E","LENG","P","01/04/2005","07/10/2008",""
"_E","HARL","P","05/09/2014","17/09/2014",""
"_E","PENL","P","17/06/2015","17/06/2015",""
"_E","UKPD","P","16/03/2016","15/06/2016",""
"_E","UDNL","P","16/11/2016","19/04/2017",""
"_E","GGEN","P","15/03/2017","15/11/2017",""
"_E","FEAL","P","15/11/2017","14/02/2018",""
"_E","VATT","P","14/02/2018","23/01/2019",""
"_E","MPDL","P","19/04/2017","17/04/2019",""
"_E","FORB","P","20/03/2019","22/01/2020",""
"_E","INDI","P","22/04/2020","16/09/2020",""
"_E","STRK","P","22/02/2023","21/02/2024",""
"_E","IDCS","P","01/09/2023","17/04/2024",""
"_E","UTAL","P","22/03/2023","18/04/2024",""
"_E","AENL","P","19/04/2023","22/05/2024",""
"_E","AURO","P","21/08/2024","20/11/2024",""
"_E","VEPN","P","22/01/2025","01/04/2025",""
"_E","AIDI","P","17/04/2024","21/05/2025",""
"_F","NEEB","P","01/04/1996","01/04/1996",""
"_F","SOUT","P","01/04/1996","23/01/2004",""
"_F","IPNL","P","01/08/2004","01/08/2004",""
"_F","GUCL","P","03/06/2005","12/08/2005",""
"_F","ETCL","P","26/05/2006","01/09/2006",""
"_F","LENG","P","01/04/2005","07/10/2008",""
"_F","HARL","P","05/09/2014","17/09/2014",""
"_F","PENL","P","17/06/2015","17/06/2015",""
"_F","UKPD","P","16/03/2016","15/06/2016",""
"_F","GGEN","P","15/03/2017","15/11/2017",""
"_F","UDNL","P","16/11/2016","20/12/2017",""
"_F","FEAL","P","15/11/2017","14/02/2018",""
"_F","VATT","P","14/02/2018","23/01/2019",""
"_F","MPDL","P","19/04/2017","17/04/2019",""
"_F","FORB","P","20/03/2019","22/01/2020",""
"_F","INDI","P","22/04/2020","16/09/2020",""
"_F","STRK","P","22/02/2023","21/02/2024",""
"_F","IDCS","P","01/09/2023","17/04/2024",""
"_F","UTAL","P","22/03/2023","18/04/2024",""
"_F","AENL","P","19/04/2023","22/05/2024",""
"_F","AURO","P","21/08/2024","20/11/2024",""
"_F","VEPN","P","22/01/2025","01/04/2025",""
"_F","AIDI","P","17/04/2024","21/05/2025",""
