"Settlement Date","Day Type ID","Season ID"
"01/04/2023","SA","2"
"02/04/2023","SU","2"
"03/04/2023","WE","2"
"04/04/2023","WE","2"
"05/04/2023","WE","2"
"06/04/2023","WE","2"
"07/04/2023","GF","2"
"08/04/2023","SA","2"
"09/04/2023","SU","2"
"10/04/2023","EM","2"
"11/04/2023","WE","2"
"12/04/2023","WE","2"
"13/04/2023","WE","2"
"14/04/2023","WE","2"
"15/04/2023","SA","2"
"16/04/2023","SU","2"
"17/04/2023","WE","2"
"18/04/2023","WE","2"
"19/04/2023","WE","2"
"20/04/2023","WE","2"
"21/04/2023","WE","2"
"22/04/2023","SA","2"
"23/04/2023","SU","2"
"24/04/2023","WE","2"
"25/04/2023","WE","2"
"26/04/2023","WE","2"
"27/04/2023","WE","2"
"28/04/2023","WE","2"
"29/04/2023","SA","2"
"30/04/2023","SU","2"
"01/05/2023","M1","2"
"02/05/2023","WE","2"
"03/05/2023","WE","2"
"04/05/2023","WE","2"
"05/05/2023","WE","2"
"06/05/2023","SA","2"
"07/05/2023","SU","2"
"08/05/2023","M1","2"
"09/05/2023","WE","2"
"10/05/2023","WE","2"
"11/05/2023","WE","2"
"12/05/2023","WE","2"
"13/05/2023","SA","3"
"14/05/2023","SU","3"
"15/05/2023","WE","3"
"16/05/2023","WE","3"
"17/05/2023","WE","3"
"18/05/2023","WE","3"
"19/05/2023","WE","3"
"20/05/2023","SA","3"
"21/05/2023","SU","3"
"22/05/2023","WE","3"
"23/05/2023","WE","3"
"24/05/2023","WE","3"
"25/05/2023","WE","3"
"26/05/2023","WE","3"
"27/05/2023","SA","3"
"28/05/2023","SU","3"
"29/05/2023","M2","3"
"30/05/2023","WE","3"
"31/05/2023","WE","3"
"01/06/2023","WE","3"
"02/06/2023","WE","3"
"03/06/2023","SA","3"
"04/06/2023","SU","3"
"05/06/2023","WE","3"
"06/06/2023","WE","3"
"07/06/2023","WE","3"
"08/06/2023","WE","3"
"09/06/2023","WE","3"
"10/06/2023","SA","3"
"11/06/2023","SU","3"
"12/06/2023","WE","3"
"13/06/2023","WE","3"
"14/06/2023","WE","3"
"15/06/2023","WE","3"
"16/06/2023","WE","3"
"17/06/2023","SA","3"
"18/06/2023","SU","3"
"19/06/2023","WE","3"
"20/06/2023","WE","3"
"21/06/2023","WE","3"
"22/06/2023","WE","3"
"23/06/2023","WE","3"
"24/06/2023","SA","3"
"25/06/2023","SU","3"
"26/06/2023","WE","3"
"27/06/2023","WE","3"
"28/06/2023","WE","3"
"29/06/2023","WE","3"
"30/06/2023","WE","3"
