"Time Pattern Regime ID","Teleswitch User ID","Teleswitch Group ID","Teleswitch Switch ID"
"01000","1","1","A"
"01001","1","1","B"
"01002","1","2","A"
"01003","1","2","B"
"01004","1","4","A"
"01005","1","4","B"
"01006","1","6","A"
"01007","1","6","B"
"01008","1","7","A"
"01009","1","7","B"
"01010","1","8","A"
"01011","1","8","B"
"01012","1","9","A"
"01013","1","9","B"
"01014","2","7","A"
"01015","2","7","B"
"01016","2","9","A"
"01017","2","9","B"
"01018","2","17","A"
"01019","2","17","B"
"01020","2","27","A"
"01021","2","27","B"
"01022","2","30","A"
"01023","2","30","B"
"01024","2","30","C"
"01025","2","32","A"
"01027","2","33","A"
"01028","2","33","B"
"01029","2","33","C"
"01030","2","34","A"
"01032","2","36","A"
"01034","2","37","A"
"01035","2","37","B"
"01036","2","40","A"
"01037","2","47","A"
"01038","2","47","B"
"01039","2","48","A"
"01040","2","48","B"
"01041","2","52","A"
"01042","2","57","A"
"01043","2","57","B"
"01044","2","60","A"
"01045","2","60","B"
"01046","2","60","C"
"01047","2","60","D"
"01048","2","67","A"
"01049","2","67","B"
"01050","2","70","A"
"01051","2","100","A"
"01052","2","120","A"
"01053","3","1","A"
"01054","3","2","A"
"01055","3","6","A"
"01056","3","6","B"
"01057","3","7","A"
"01058","3","7","B"
"01059","3","8","A"
"01060","3","8","B"
"01061","3","9","A"
"01062","3","9","B"
"01063","3","10","A"
"01064","3","10","B"
"01065","3","11","A"
"01066","3","11","B"
"01067","3","12","A"
"01068","3","12","B"
"01069","3","16","A"
"01070","3","16","B"
"01071","3","17","A"
"01072","3","17","B"
"01073","3","18","A"
"01074","3","18","B"
"01075","3","19","C"
"01076","3","19","A"
"01077","3","19","B"
"01078","3","20","A"
"01079","3","20","B"
"01080","3","29","A"
"01081","3","29","B"
"01082","3","29","C"
"01083","3","30","A"
"01084","3","31","A"
"01085","3","31","B"
"01086","3","32","A"
"01087","3","32","B"
"01088","3","37","A"
"01089","3","38","A"
"01090","3","39","A"
"01091","3","40","A"
"01092","3","40","B"
"01093","3","41","A"
"01094","3","41","B"
"01095","3","50","A"
"01096","3","50","B"
"01097","3","50","C"
"01098","3","51","A"
"01099","3","51","B"
"01100","3","51","C"
"01101","3","52","A"
"01102","3","52","B"
"01103","3","52","C"
"01104","3","70","A"
"01105","3","80","A"
"01106","3","81","A"
"01107","3","82","A"
"01108","3","83","A"
"01109","3","84","A"
"01110","3","85","A"
"01111","3","86","A"
"01112","3","87","A"
"01113","3","88","A"
"01114","3","89","A"
"01115","3","90","A"
"01116","3","91","A"
"01118","4","9","A"
"01119","4","9","B"
"01120","4","52","A"
"01121","4","52","B"
"01122","4","52","C"
"01123","4","52","D"
"01124","4","53","A"
"01125","4","53","B"
"01126","4","54","A"
"01127","4","54","B"
"01128","4","55","A"
"01129","4","55","B"
"01130","4","56","A"
"01131","4","57","A"
"01132","4","57","B"
"01133","4","57","C"
