"Time Pattern Regime ID","Teleswitch Register Rule ID","Teleswitch Contact Code","Teleswitch Contact Rule"
"01000","1","C","1"
"01000","1","D","1"
"01001","1","C","0"
"01001","1","D","0"
"01002","1","C","1"
"01002","1","D","1"
"01003","1","C","0"
"01003","1","D","0"
"01004","1","C","1"
"01004","1","D","1"
"01005","1","C","0"
"01005","1","D","0"
"01006","1","A","1"
"01006","1","D","0"
"01006","2","A","0"
"01006","2","D","1"
"01006","3","A","1"
"01006","3","D","1"
"01007","1","A","0"
"01008","1","C","1"
"01008","1","D","1"
"01009","1","C","0"
"01009","1","D","0"
"01010","1","C","1"
"01010","1","D","1"
"01011","1","C","0"
"01011","1","D","0"
"01012","1","C","1"
"01012","1","D","1"
"01013","1","C","0"
"01013","1","D","0"
"01014","1","A","1"
"01014","1","B","1"
"01015","1","A","0"
"01015","1","B","0"
"01016","1","A","0"
"01016","1","B","0"
"01017","1","A","1"
"01017","1","B","1"
"01018","1","A","1"
"01018","1","B","1"
"01019","1","A","0"
"01019","1","B","0"
"01020","1","A","1"
"01020","1","B","1"
"01021","1","A","0"
"01021","1","B","0"
"01022","1","A","0"
"01022","1","B","0"
"01023","1","A","1"
"01023","1","B","1"
"01024","1","A","1"
"01024","1","B","0"
"01025","1","C","1"
"01025","1","D","1"
"01025","2","C","0"
"01025","2","D","1"
"01025","3","C","1"
"01025","3","D","0"
"01027","1","A","0"
"01027","1","B","0"
"01028","1","A","1"
"01028","1","B","1"
"01029","1","A","1"
"01029","1","B","0"
"01030","1","C","1"
"01030","1","D","1"
"01030","2","C","0"
"01030","2","D","1"
"01030","3","C","1"
"01030","3","D","0"
"01032","1","C","1"
"01032","1","D","1"
"01032","2","C","0"
"01032","2","D","1"
"01032","3","C","1"
"01032","3","D","0"
"01034","1","A","1"
"01034","1","B","1"
"01035","1","A","0"
"01035","1","B","0"
"01036","1","D","1"
"01037","1","A","1"
"01037","1","B","1"
"01038","1","A","0"
"01038","1","B","0"
"01039","1","A","1"
"01039","1","B","1"
"01040","1","A","0"
"01040","1","B","0"
"01041","1","D","1"
"01042","1","A","1"
"01042","1","B","1"
"01043","1","A","0"
"01043","1","B","0"
"01044","1","A","1"
"01044","1","B","1"
"01045","1","A","0"
"01045","1","B","0"
"01046","1","A","1"
"01046","1","B","0"
"01047","1","C","1"
"01047","1","D","1"
"01048","1","A","1"
"01048","1","B","1"
"01049","1","A","0"
"01049","1","B","0"
"01050","1","D","1"
"01051","1","D","1"
"01052","1","D","1"
"01053","1","D","1"
"01054","1","D","1"
"01055","1","A","0"
"01055","1","B","0"
"01056","1","A","1"
"01056","1","B","1"
"01057","1","A","0"
"01057","1","B","0"
"01058","1","A","1"
"01058","1","B","1"
"01059","1","A","0"
"01059","1","B","0"
"01060","1","A","1"
"01060","1","B","0"
"01061","1","A","0"
"01061","1","B","0"
"01062","1","A","1"
"01062","1","B","0"
"01063","1","A","0"
"01063","1","B","0"
"01064","1","A","1"
"01064","1","B","0"
"01065","1","A","0"
"01065","1","B","0"
"01066","1","A","1"
"01066","1","B","0"
"01067","1","A","0"
"01067","1","B","0"
"01068","1","A","1"
"01068","1","B","0"
"01069","1","A","0"
"01069","1","B","0"
"01070","1","A","1"
"01070","1","B","1"
"01071","1","A","0"
"01071","1","B","0"
"01072","1","A","1"
"01072","1","B","1"
"01073","1","A","0"
"01073","1","B","0"
"01074","1","A","1"
"01074","1","B","0"
"01074","2","A","1"
"01074","2","B","1"
"01075","1","A","1"
"01075","1","B","1"
"01076","1","A","0"
"01076","1","B","0"
"01077","1","A","1"
"01077","1","B","0"
"01078","1","A","0"
"01078","1","B","0"
"01079","1","A","1"
"01079","1","B","0"
"01079","1","D","1"
"01080","1","A","0"
"01080","1","B","0"
"01081","1","A","1"
"01081","1","B","0"
"01082","1","C","1"
"01082","2","D","1"
"01083","1","D","1"
"01084","1","A","0"
"01084","1","B","1"
"01085","1","A","1"
"01085","1","B","0"
"01085","1","D","1"
"01086","1","A","0"
"01086","1","B","1"
"01087","1","A","1"
"01087","1","B","0"
"01087","1","D","1"
"01088","1","A","1"
"01088","1","B","1"
"01089","1","A","1"
"01089","1","B","1"
"01090","1","A","1"
"01090","1","B","1"
"01091","1","A","0"
"01091","1","B","1"
"01092","1","A","1"
"01092","1","B","0"
"01092","1","D","1"
"01093","1","A","0"
"01093","1","B","1"
"01094","1","A","1"
"01094","1","B","0"
"01094","1","D","1"
"01095","1","A","0"
"01095","1","B","0"
"01096","1","A","1"
"01096","1","B","0"
"01097","1","C","1"
"01097","2","D","1"
