"Teleswitch User ID","Teleswitch Group ID"
"1","1"
"1","2"
"1","4"
"1","6"
"1","7"
"1","8"
"1","9"
"2","7"
"2","9"
"2","17"
"2","27"
"2","30"
"2","32"
"2","33"
"2","34"
"2","36"
"2","37"
"2","40"
"2","47"
"2","48"
"2","52"
"2","57"
"2","60"
"2","67"
"2","70"
"2","100"
"2","120"
"3","1"
"3","2"
"3","3"
"3","6"
"3","7"
"3","8"
"3","9"
"3","10"
"3","11"
"3","12"
"3","16"
"3","17"
"3","18"
"3","19"
"3","20"
"3","29"
"3","30"
"3","31"
"3","32"
"3","37"
"3","38"
"3","39"
"3","40"
"3","41"
"3","50"
"3","51"
"3","52"
"3","70"
"3","80"
"3","81"
"3","82"
"3","83"
"3","84"
"3","85"
"3","86"
"3","87"
"3","88"
"3","89"
"3","90"
"3","91"
"4","9"
"4","52"
"4","53"
"4","54"
"4","55"
"4","56"
"4","57"
"4","59"
"4","71"
"4","72"
"4","73"
"4","74"
"4","75"
"4","76"
"4","77"
"4","98"
"4","99"
"5","10"
"5","12"
"5","18"
"5","24"
"5","33"
"5","64"
"5","66"
"5","88"
"5","89"
"5","90"
"5","91"
"5","92"
"5","93"
"5","94"
"5","95"
"5","97"
"5","98"
"5","99"
"5","120"
"5","121"
"6","39"
"6","40"
"6","41"
"6","42"
"6","43"
"6","44"
"6","45"
"6","46"
"6","47"
"6","48"
"6","49"
"6","50"
"6","51"
"6","52"
"6","53"
"6","70"
"6","75"
"6","80"
"6","85"
"6","86"
"6","87"
"6","88"
"6","89"
"6","90"
"6","91"
"6","92"
"6","93"
"6","101"
"6","106"
"7","85"
"7","86"
"7","87"
"7","88"
"7","89"
"7","90"
"7","91"
"7","92"
"8","1"
"8","2"
"8","3"
"8","4"
"8","8"
"8","16"
"8","31"
"8","32"
"8","50"
"8","63"
"8","64"
"8","127"
"9","6"
"9","7"
"9","8"
"9","10"
"9","15"
"9","16"
"9","31"
"9","32"
"9","63"
"9","64"
"9","127"
"10","0"
"10","1"
"10","2"
"10","3"
"10","4"
"10","5"
"10","6"
"10","7"
"10","8"
"10","9"
"10","30"
"10","45"
"10","50"
"10","55"
"10","56"
"10","60"
"11","21"
"11","22"
"11","23"
"11","24"
"11","35"
"11","36"
"11","37"
"11","38"
"11","40"
"11","61"
"11","62"
"12","1"
"12","2"
"12","3"
"12","10"
"12","22"
"12","23"
"12","33"
"12","34"
"12","35"
"12","36"
"12","37"
"12","42"
"12","58"
"12","61"
"12","92"
"13","20"
"13","30"
"13","31"
"13","32"
"13","97"
"13","98"
"13","99"
"13","100"
"13","101"
"13","102"
"13","103"
"13","104"
"13","105"
"13","109"
"13","111"
"13","112"
"13","113"
"13","114"
"13","115"
"13","116"
"13","117"
"13","118"
"13","119"
"13","120"
"13","121"
"13","122"
"13","123"
"13","124"
"13","125"
"13","126"
"13","127"
"14","1"
"14","11"
"14","15"
"14","16"
"14","17"
"14","18"
"14","21"
"14","25"
"14","26"
"14","27"
"14","28"
"14","31"
"14","32"
"14","35"
"14","36"
"14","37"
"14","38"
"14","41"
"14","42"
"14","45"
"14","46"
"14","47"
"14","51"
"14","52"
"14","61"
"14","62"
"14","63"
"14","64"
"14","65"
"14","66"
"14","67"
"14","68"
"14","69"
"14","71"
"14","72"
"14","73"
"14","74"
"14","75"
"14","76"
"14","77"
"14","78"
"14","79"
"14","80"
"14","81"
"14","82"
"14","83"
"14","91"
"14","92"
"14","94"
"14","95"
"14","96"
"14","97"
"14","98"
"14","101"
"14","110"
"14","111"
"14","120"
"14","121"
"14","122"
"14","123"
"14","124"
"14","125"
